start	short_name	goal	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed	predict
2013	Ajaccio	11	11072.25299	2938.58015	18	42	14	1	9	1	4	9.96040206253
2013	Bastia	15	14594.71837	3251.37458	20	53	25	0	5	1	5	11.1973678536
2013	Bordeaux	15	16056.99307	3538.3627	32	59	23	0	18	0	6	17.2389415942
2013	Evian	15	11430.64132	2991.81356	11	33	18	0	1	1	4	12.0917313861
2013	Guingamp	13	11821.09656	2665.5373	28	59	17	0	11	0	6	12.9255620019
2013	Lille	17	14867.47149	3316.30184	35	67	28	0	11	4	8	15.6533731967
2013	Lorient	14	13306.34764	3130.06771	20	38	19	0	8	1	4	12.9797130327
2013	Lyon	15	13352.42355	3558.40488	21	55	25	0	12	2	7	11.7445251657
2013	Marseille	18	16452.42855	3649.84926	37	75	21	0	5	3	0	15.6601374237
2013	Monaco	19	16587.22676	3964.91132	24	71	27	0	11	4	2	17.2393273281
2013	Montpellier	9	14402.83033	3355.87518	35	51	34	0	8	1	3	12.7685065515
2013	Nantes	15	10715.22754	2421.73975	33	67	21	1	8	2	3	12.0031493167
2013	Nice	6	9866.68965	2643.17619	18	43	15	0	3	3	4	11.4117466333
2013	PSG	29	16993.61999	3655.43769	35	59	26	0	4	9	1	25.8530220976
2013	Reims	13	13149.58537	3266.59408	30	61	28	0	4	5	7	12.4321641476
2013	Rennes	18	12183.33745	2872.03682	13	41	11	0	4	1	4	13.6724440468
2013	Sochaux	13	14799.67945	3732.92438	33	82	42	0	8	1	13	14.0712152642
2013	St Etienne	22	12813.35977	3061.9795	29	54	16	0	15	2	8	14.750481863
2013	Toulouse	13	13957.99912	3402.96533	21	61	23	0	6	1	4	14.7519368049
2013	Valenciennes	10	14116.07406	3601.9595	22	61	29	0	4	0	3	13.3454691217
2014	Bastia	7	6245.52083	1395.52579	18	36	16	0	0	0	6	7.84826104461
2014	Bordeaux	5	10186.69002	2380.37299	20	43	13	1	1	0	2	10.0568674991
2014	Caen	12	10214.13712	2251.11279	18	46	16	0	1	2	3	9.66902805813
2014	Evian	11	6065.64522	1362.99055	7	27	7	0	0	0	1	5.93342891093
2014	Guingamp	13	8056.78154	1783.43008	25	46	13	1	1	2	3	10.0018618817
2014	Lens	8	10685.91946	2215.53371	24	48	17	1	2	3	5	10.1380740332
2014	Lille	6	8380.79621	1920.43981	16	36	9	0	0	2	2	8.77322882212
2014	Lorient	10	9846.66739	2506.24075	14	40	9	2	3	3	7	10.7354485513
2014	Lyon	14	9870.5882	2472.32182	15	35	17	0	2	3	4	13.2100536242
2014	Marseille	11	10252.13966	2256.50059	22	49	16	0	1	2	3	11.6231452784
2014	Metz	3	7068.32382	1730.2958	18	32	17	1	0	0	6	5.90518843625
2014	Monaco	7	10201.48523	2082.33952	20	47	17	2	1	3	3	11.5889283622
2014	Montpellier	18	8136.24733	1871.60662	8	31	13	0	2	3	5	11.7972307629
2014	Nantes	4	8361.35062	2331.90222	19	44	17	1	1	3	5	6.6243185018
2014	Nice	9	8770.59141	2140.5235	13	37	7	0	2	1	4	9.83949786703
2014	PSG	9	8504.1163	1763.59448	14	32	12	0	2	5	3	12.2900780818
2014	Reims	12	11084.18059	2565.69861	22	58	20	1	0	0	7	10.5134396241
2014	Rennes	6	5530.20662	1275.29855	14	25	7	0	0	0	4	7.19360691121
2014	St Etienne	11	8000.88525	1899.29829	16	40	19	2	0	1	7	9.06442299245
2014	Toulouse	6	7782.05724	1867.05489	13	31	7	1	2	5	2	7.18102827097
