pass_team,id,player_name,home_team,away_team,pass_type,start_x,start_y,end_x,end_y
Angers,190,190,190,190,190,190,190,190,190
Bastia,206,206,206,206,206,206,206,206,206
Bordeaux,217,217,217,217,217,217,217,217,217
Caen,166,166,166,166,166,166,166,166,166
GFC Ajaccio,219,219,219,219,219,219,219,219,219
Guingamp,197,197,197,197,197,197,197,197,197
Lille,190,190,190,190,190,190,190,190,190
Lorient,181,181,181,181,181,181,181,181,181
Lyon,288,288,288,288,288,288,288,288,288
Marseille,206,206,206,206,206,206,206,206,206
Monaco,201,201,201,201,201,201,201,201,201
Montpellier,257,257,257,257,257,257,257,257,257
Nantes,243,243,243,243,243,243,243,243,243
Nice,252,252,252,252,252,252,252,252,252
PSG,326,326,326,326,326,326,326,326,326
Reims,205,205,205,205,205,205,205,205,205
Rennes,179,179,179,179,179,179,179,179,179
St Etienne,281,281,281,281,281,281,281,281,281
Toulouse,191,191,191,191,191,191,191,191,191
Troyes,185,185,185,185,185,185,185,185,185
