"season","away_average"
1933,1.69
1934,1.46
1935,1.45
1936,1.35
1937,1.31
1938,1.22
1945,1.38
1946,1.31
1947,1.40
1948,1.32
1949,1.35
1950,1.29
1951,1.26
1952,1.15
1953,1.17
1954,1.20
1955,1.21
1956,1.34
1957,1.30
1958,1.32
1959,1.36
1960,1.21
1961,1.22
1962,1.23
1963,1.15
1964,1.08
1965,1.10
1966,0.96
1967,0.93
1968,0.90
1969,1.21
1970,1.01
1971,1.02
1972,0.95
1973,1.08
1974,0.91
1975,1.05
1976,1.03
1977,1.02
1978,1.03
1979,0.98
1980,1.02
1981,0.85
1982,0.97
1983,0.87
1984,0.86
1985,0.81
1986,0.71
1987,0.76
1988,0.84
1989,0.74
1990,0.71
1991,0.76
1992,0.89
1993,0.81
1994,0.92
1995,0.84
1996,0.88
1997,0.91
1998,0.88
1999,0.97
2000,1.06
2001,0.82
2002,0.86
2003,0.92
2004,0.83
2005,0.86
2006,0.93
2007,0.94
2008,0.97
2009,1.02
2010,1.00
2011,1.04
2012,1.08
2013,1.04
