"start","diff_avg"
1933,2.00
1934,2.05
1935,1.90
1936,1.70
1937,1.50
1938,1.58
1945,1.74
1946,1.71
1947,1.86
1948,1.88
1949,1.67
1950,1.63
1951,1.82
1952,1.62
1953,1.48
1954,1.71
1955,1.54
1956,1.64
1957,1.52
1958,1.46
1959,1.58
1960,1.47
1961,1.44
1962,1.44
1963,1.55
1964,1.42
1965,1.57
1966,1.39
1967,1.47
1968,1.38
1969,1.57
1970,1.51
1971,1.50
1972,1.37
1973,1.44
1974,1.42
1975,1.40
1976,1.45
1977,1.51
1978,1.53
1979,1.51
1980,1.25
1981,1.39
1982,1.34
1983,1.29
1984,1.32
1985,1.26
1986,1.13
1987,1.25
1988,1.17
1989,1.22
1990,1.16
1991,1.14
1992,1.16
1993,1.15
1994,1.29
1995,1.20
1996,1.18
1997,1.22
1998,1.21
1999,1.26
2000,1.17
2001,1.22
2002,1.22
2003,1.27
2004,1.07
2005,1.18
2006,1.10
2007,1.19
2008,1.09
2009,1.29
2010,1.11
2011,1.18
2012,1.24
2013,1.22
