"start","home","away","draws","games","days","homeavg","awayavg","drawavg"
1933,114,36,32,182,26,0.63,0.20,0.18
1934,139,62,39,240,30,0.58,0.26,0.16
1935,138,59,43,240,30,0.58,0.25,0.18
1936,146,50,44,240,30,0.61,0.21,0.18
1937,112,55,73,240,30,0.47,0.23,0.30
1938,131,55,54,240,30,0.55,0.23,0.23
1945,159,78,69,306,34,0.52,0.25,0.23
1946,215,88,77,380,38,0.57,0.23,0.20
1947,171,71,64,306,34,0.56,0.23,0.21
1948,183,62,61,306,34,0.60,0.20,0.20
1949,161,74,71,306,34,0.53,0.24,0.23
1950,163,77,66,306,34,0.53,0.25,0.22
1951,169,73,64,306,34,0.55,0.24,0.21
1952,177,66,63,306,34,0.58,0.22,0.21
1953,159,68,79,306,34,0.52,0.22,0.26
1954,182,56,68,306,34,0.59,0.18,0.22
1955,175,65,66,306,34,0.57,0.21,0.22
1956,162,76,68,306,34,0.53,0.25,0.22
1957,158,73,75,306,34,0.52,0.24,0.25
1958,196,83,101,380,38,0.52,0.22,0.27
1959,190,102,88,380,38,0.50,0.27,0.23
1960,216,80,84,380,38,0.57,0.21,0.22
1961,203,87,90,380,38,0.53,0.23,0.24
1962,184,86,110,380,38,0.48,0.23,0.29
1963,173,59,74,306,34,0.57,0.19,0.24
1964,163,63,80,306,34,0.53,0.21,0.26
1965,219,67,94,380,38,0.58,0.18,0.25
1966,191,77,112,380,38,0.50,0.20,0.29
1967,207,84,89,380,38,0.54,0.22,0.23
1968,169,57,80,306,34,0.55,0.19,0.26
1969,168,67,71,306,34,0.55,0.22,0.23
1970,210,73,97,380,38,0.55,0.19,0.26
1971,210,82,88,380,38,0.55,0.22,0.23
1972,211,68,101,380,38,0.56,0.18,0.27
1973,213,70,97,380,38,0.56,0.18,0.26
1974,230,58,92,380,38,0.61,0.15,0.24
1975,218,60,102,380,38,0.57,0.16,0.27
1976,221,67,92,380,38,0.58,0.18,0.24
1977,223,73,84,380,38,0.59,0.19,0.22
1978,206,70,104,380,38,0.54,0.18,0.27
1979,222,81,77,380,38,0.58,0.21,0.20
1980,191,66,123,380,38,0.50,0.17,0.32
1981,213,70,97,380,38,0.56,0.18,0.26
1982,224,52,104,380,38,0.59,0.14,0.27
1983,202,79,99,380,38,0.53,0.21,0.26
1984,213,64,103,380,38,0.56,0.17,0.27
1985,212,55,113,380,38,0.56,0.14,0.30
1986,195,60,125,380,38,0.51,0.16,0.33
1987,214,68,98,380,38,0.56,0.18,0.26
1988,202,67,111,380,38,0.53,0.18,0.29
1989,214,56,110,380,38,0.56,0.15,0.29
1990,188,57,135,380,38,0.49,0.15,0.36
1991,182,71,127,380,38,0.48,0.19,0.33
1992,180,74,126,380,38,0.47,0.19,0.33
1993,190,66,124,380,38,0.50,0.17,0.33
1994,196,75,109,380,38,0.52,0.20,0.29
1995,191,74,115,380,38,0.50,0.19,0.30
1996,177,87,116,380,38,0.47,0.23,0.31
1997,152,77,77,306,34,0.50,0.25,0.25
1998,152,65,89,306,34,0.50,0.21,0.29
1999,160,66,80,306,34,0.52,0.22,0.26
2000,150,72,84,306,34,0.49,0.24,0.27
2001,159,61,86,306,34,0.52,0.20,0.28
2002,186,88,106,380,38,0.49,0.23,0.28
2003,185,96,99,380,38,0.49,0.25,0.26
2004,177,71,132,380,38,0.47,0.19,0.35
2005,170,92,118,380,38,0.45,0.24,0.31
2006,181,82,117,380,38,0.48,0.22,0.31
2007,167,97,116,380,38,0.44,0.26,0.31
2008,165,103,112,380,38,0.43,0.27,0.29
2009,179,104,97,380,38,0.47,0.27,0.26
2010,157,93,130,380,38,0.41,0.24,0.34
2011,179,93,108,380,38,0.47,0.24,0.28
2012,170,102,108,380,38,0.45,0.27,0.28
2013,167,104,109,380,38,0.44,0.27,0.29
