"season","home_average"
1933,2.82
1934,2.46
1935,2.35
1936,2.28
1937,1.99
1938,1.97
1945,2.15
1946,2.20
1947,2.28
1948,2.40
1949,2.19
1950,2.03
1951,2.17
1952,2.00
1953,1.93
1954,2.24
1955,2.09
1956,2.03
1957,2.04
1958,2.00
1959,2.00
1960,1.94
1961,1.92
1962,1.89
1963,2.05
1964,1.76
1965,2.03
1966,1.68
1967,1.71
1968,1.76
1969,1.97
1970,1.90
1971,1.84
1972,1.81
1973,1.95
1974,1.92
1975,1.97
1976,1.93
1977,1.97
1978,1.97
1979,1.84
1980,1.78
1981,1.74
1982,1.89
1983,1.53
1984,1.71
1985,1.64
1986,1.38
1987,1.49
1988,1.52
1989,1.53
1990,1.41
1991,1.34
1992,1.44
1993,1.42
1994,1.59
1995,1.44
1996,1.44
1997,1.45
1998,1.48
1999,1.60
2000,1.45
2001,1.52
2002,1.34
2003,1.41
2004,1.35
2005,1.28
2006,1.32
2007,1.35
2008,1.29
2009,1.39
2010,1.34
2011,1.47
2012,1.47
2013,1.41
